verse,story
"(Although) Jesus entreated them, saying, “This is lasting and will not fail from off the earth.” To show suspicion and greed at the table of Majesty is ingratitude. Because of those impudent wretches who were blinded by greed, that gate of mercy was closed upon them. On account of withholding the poor-tax no rain-clouds arise, and in consequence of fornication the plague spreads in all directions. Whatever befalls thee of gloom and sorrow is the result of irreverence and insolence withal.",0
"Any one behaving with irreverence in the path of the Friend is a brigand who robs men, and he is no man. Through discipline this Heaven has been filled with light, and through discipline the angels became immaculate and holy. By reason of irreverence the sun was eclipsed, and insolence caused an ‘Azázíl to be turned back from the door. The meeting of the king with the divine physician whose coming had been announced to him in a dream. He (the king) opened his hands and clasped him to his breast and received him, like love, into his heart and soul, And began to kiss his hand and brow and inquire concerning his home and journey.",0
"(So) with many a question he led him to the dais. “At last,” said he, “I have found a treasure by being patient.” He said (also), “O gift from God and defence against trouble, (O thou who art) the meaning of ‘Patience is the key of joy’! O thou whose countenance is the answer to every question, by thee hard knots are loosed without discussion. Thou interpretest all that is in our hearts, thou givest a helping hand to every one whose foot is in the mire. Welcome, O chosen one, O approved one! If thou vanish, Destiny will come (upon us) and the wide room will be straitened.",0
"Thou art the protector of the people. He that desires (thee) not hath gone to perdition. Nay, verily, if he do not refrain…!” When that meeting and bounteous (spiritual) repast was over, he took his hand and conducted him to the harem. How the king led the physician to the bedside of the sick girl, that he might see her condition. He rehearsed the tale of the invalid and her illness, and then seated him beside the sick (girl). The physician observed the colour of her face, (felt) her pulse, and (inspected) her urine; he heard both the symptoms and the (secondary) causes of her malady. He said, “None of the remedies which they have applied builds up (health): they (the false physicians) have wrought destruction.",0
"They were ignorant of the inward state. I seek refuge with God from that which they invent.” He saw the pain, and the secret became open to him, but he concealed it and did not tell the king. Her pain was not from black or yellow bile: the smell of every firewood appears from the smoke. From her sore grief he perceived that she was heart-sore; well in body, but stricken in heart. Being in love is made manifest by soreness of heart: there is no sickness like heartsickness.",0
"The lover's ailment is separate from all other ailments: love is the astrolabe of the mysteries of God. Whether love be from this (earthly) side or from that (heavenly) side, in the end it leads us yonder. Whatsoever I say in exposition and explanation of Love, when I come to Love (itself) I am ashamed of that (explanation). Although the commentary of the tongue makes (all) clear, yet tongueless love is clearer. Whilst the pen was making haste in writing, it split upon itself as soon as it came to Love.",0
"In expounding it (Love), the intellect lay down (helplessly) like an ass in the mire: it was Love (alone) that uttered the explanation of love and loverhood. The proof of the sun is the sun (himself): if thou require the proof, do not avert thy face from him! If the shadow gives an indication of him, the sun (himself) gives spiritual light every moment. The shadow, like chat in the night-hours, brings sleep to thee; when the sun rises the moon is cloven asunder. There is nothing in the world so wondrous strange as the sun, (but) the Sun of the spirit is everlasting: it hath no yesterday.",0
"Although the external sun is unique, still it is possible to imagine one resembling it; The spiritual Sun, which is beyond the aether, hath no peer in the mind or externally. Where is room in the imagination for His essence, that the like of Him should come into the imagination? When news arrived of the face of Shamsu’ddín (the Sun of the Religion), the sun of the fourth heaven drew in its head (hid itself for shame). Since his name has come (to my lips), it behoves me to set forth some hint of his bounty.",0
"At this moment my Soul has plucked my skirt: he has caught the perfume of Joseph's vest. (He said): “For the sake of our years of companionship, recount one of those sweet ecstasies, That earth and heaven may laugh (with joy), that intellect and spirit and eye may increase a hundredfold.” (I said): “Do not lay tasks on me, for I have passed away from myself (faná); my apprehensions are blunted and I know not how to praise. Everything that is said by one who has not returned to consciousness, if he constrains himself or boastfully exaggerates, is unseemly.",0
"How should I—not a vein of mine is sensible—describe that Friend who hath no peer? The description of this severance and this heart's blood do thou at present leave over till another time.” He said: “Feed me, for I am hungry, and make haste, for Time is a cutting sword. The Súfí is the son of the (present) time, O comrade: it is not the rule of the Way to say ‘To-morrow.’ Art not thou indeed a Súfí, then? That which is (in hand) is reduced to naught by postponing the payment.”",0
"I said to him: “It is better that the secret of the Friend should be disguised: do thou hearken (to it as implied) in the contents of the tale. It is better that the lovers' secret should be told in the talk of others.” He said: “Tell it forth openly and nakedly and without unfaithfulness: do not put me off, O trifler! Lift the veil and speak nakedly, for I do not wear a shirt when I sleep with the Adored One.” I said: “If He should become naked in (thy) vision, neither wilt thou remain nor thy bosom nor thy waist. ",0
"Ask thy wish, but ask with measure: a blade of straw will not support the mountain. If the Sun, by whom this world is illumined, should approach a little (nearer), all will be burned. Do not seek trouble and turmoil and bloodshed: say no more concerning the Sun of Tabriz!” This (mystery) hath no end: tell of the beginning. Go, relate the conclusion of this tale. How that saint demanded of the king to be alone with the handmaiden for the purpose of discovering her malady. He said: “O king, make the house empty; send away both kinsfolk and strangers.",0
"Let no one listen in the entrance-halls, that I may ask certain things of this handmaiden.” The house was left empty, and not one inhabitant (remained): nobody save the physician and that sick girl. Very gently he said (to her), “Where is thy native town? for the treatment suitable to the people of each town is separate. And in that town who is related to thee? With what hast thou kinship and affinity?” He laid his hand on her pulse and put questions, one by one, about the injustice of Heaven.",0
"When a thorn darts into any one's foot, he sets his foot upon his knee, And keeps searching for its head with the point of a needle, and if he does not find it, he keeps moistening it (the place) with his lip. A thorn in the foot is so hard to find: how (then) is it with a thorn in the heart? Answer (that)! If every base fellow had seen the thorn in the heart, when would sorrows gain the upper hand over any one? Somebody sticks a thorn under a donkey's tail: the donkey does not know how to get rid of it: he starts jumping.",0
"He jumps, and the thorn strikes more firmly (pierces deeper): it needs an intelligent person to extract a thorn. In order to get rid of the thorn, the donkey from irritation and pain went on kicking and dealing blows in a hundred places, (But) that thorn-removing physician was an expert: putting his hand on one spot after another, he tested (it). He inquired of the girl concerning her friends, by way of narrative, And she disclosed to the physician (many) circumstances touching her home and (former) masters and fellow-townsmen.",0
"He listened to her story (while) he continued to observe her pulse and its beating, So that at whosoever's name her pulse should begin to throb, (he might know that) that person is the object of her soul's desire in the world. He counted up the friends in her native town; then he mentioned another town by name. He said: “When you went forth from your own town, in which town did you live mostly?” She mentioned the name of a certain town and from that too she passed on (to speak of another, and meanwhile) there was no change in the colour of her face or in her pulse.",0
"Masters and towns, one by one, she told of, and about dwelling-place and bread and salt. She told stories of many a town and many a house, (and still) no vein of her quivered nor did her cheek grow pale. Her pulse remained in its normal state, unimpaired, till he asked about Samarcand, the (city) sweet as candy. (Thereat) her pulse jumped and her face went red and pale (by turns), for she had been parted from a man of Samarcand, a goldsmith. When the physician found out this secret from the sick (girl), he discerned the source of that grief and woe.",0
"He said: “Which is his quarter in passing (through the town)?” “Sar-i Pul (Bridgehead),” she replied, “and Ghátafar street.” Said he: “I know what your illness is and I will at once display the arts of magic in delivering you. Be glad and care-free and have no fear, for I will do to you that which rain does to the meadow. I will be anxious for you, be not you anxious: I am kinder to you than a hundred fathers. Beware! tell not this secret to any one, not though the king should make much inquiry from you.",0
"When your heart becomes the grave of your secret, that desire of yours will be gained more quickly.” The Prophet said that any one who hides his inmost thought will soon attain to the object of his desire. When seeds are hidden in the earth, their inward secret becomes the verdure of the garden. If gold and silver were not hidden, how would they get nourishment (grow and ripen) in the mine? The promises and soothing words of the physician made the sick (girl) safe (free) from fear.",0
"There are true promises, grateful to the heart; there are false promises, fraught with disquietude. The promise of the noble is current (sterling) coin; the promise of the unworthy becomes anguish of soul. How the saint, having discovered the (cause of) the illness, laid it before the king. Then he arose and went to see the king and acquainted him with a portion of that matter. “The (best) plan,” said he, “is that we should bring the man here for the sake of (curing) this malady. Summon the goldsmith from that far country; beguile him with gold and robes of honour.”",0
"The king sent thither one or two messengers, clever men and competent and very just. How the king sent messengers to Samarcand to fetch the goldsmith. To Samarcand came the two messengers for the goldsmith debonair and wanton, Saying, “O fine master, perfect in knowledge, thou whose quality (of perfection in thy craft) is famous in (all) the lands, Lo, such-and-such a king hath chosen thee for (thy skill in) the goldsmith's craft, because thou art eminent. Look now, receive this robe of honour and gold and silver; when thou comest (to the king), thou wilt be a favourite and boon- companion.”",0
"The man saw the much wealth and the many robes: he was beguiled, he parted from his town and children. Blithely the man came into the road, unaware that the king had formed a design against his life. He mounted an Arab horse and sped on joyously: (what really was) the price of his blood he deemed a robe of honour. O (fool), who with a hundred consents thyself with thine own foot didst enter on the journey to the fated ill! In his fancy (were dreams of) riches, power, and lordship. Said ‘Azrá‘íl (the Angel of Death), “Go (thy way). Yes, thou wiltget (them)!”",0
"When the stranger arrived (and turned) from the road, the physician brought him into the presence of the king. Proudly and delicately they conducted him to the king of kings, that he might burn (like a moth) on that candle of Tiráz. The king beheld him, showed great regard (for him), and entrusted to him the treasure house (full) of gold. Then the physician said to him: “O mighty Sultan, give the handmaiden to this lord, In order that the handmaiden may be happy in union with him, and that the water of union with him may put out the fire (of passion).”",0
"The king bestowed on him that moon-faced one and wedded those twain (who were) craving (each other's) company. During the space of six months they were satisfying their desire, till the girl was wholly restored to health. Thereafter he prepared for him a potion, so that when he drank it he began to dwindle away before her. When because of sickness his beauty remained not, the soul of the girl remained not in his pestilence (deadly toils). Since he became ugly and ill-favoured and sallow-cheeked, little by little he became cold (irksome and unpleasing) in her heart.",0
"Those loves which are for the sake of a colour (outward beauty) are not love: in the end they are a disgrace. Would that he too had been disgrace (deformity) altogether, so that that evil judgement might not have come to pass upon him! Blood ran from his eye (that flowed with tears) like a river; his (handsome) face became the enemy of his life. The peacock's plumage is its enemy: O many the king who hath been slain by his magnificence! He said, “I am the muskdeer on account of whose gland that hunter shed my pure (innocent) blood.",0
"Oh, I am the fox of the field whose head they (the hunters springing forth) from the covert cut off for the sake of the fur. Oh, I am the elephant whose blood was shed by the blow of the mahout for the sake of the bone (ivory). He who hath slain me for that which is other than I, does not he know that my blood sleepeth not (will not rest unavenged)? To-day it lies on me and to-morrow it lies on him: when does the blood of one such as I am go to waste like this? Although the wall casts a long shadow, (yet at last) the shadow turns back again towards it.",0
"This world is the mountain, and our action the shout: the echo of the shouts comes (back) to us.” He said this and at the (same) moment went under the earth (gave up the ghost). The handmaiden was purged of pain and love, Because love of the dead is not enduring, because the dead one is never coming (back) to us; (But) love of the living is every moment fresher than a bud in the spirit and in the sight. Choose the love of that Living One who is everlasting, who gives thee to drink of the wine that increases life.",0
"Choose the love of Him from whose love all the prophets gained power and glory. Do not say, “We have no admission to that King.” Dealings with the generous are not difficult. Setting forth how the slaying and poisoning of the goldsmith was (prompted) by Divine suggestion, not by sensual desire and wicked meditation. The slaying of this man by the hand of the physician was not (done) on account of hope or fear. He did not slay him to humour the king, (he did not slay him) until the Divine command and inspiration came. As for the boy whose throat was cut by Khadir, the vulgar do not comprehend the mystery thereof.",0
"He that receives from God inspiration and answer (to his prayer), whatsoever he may command is the essence of right. If one who bestows (spiritual) life should slay, it is allowable: he is the (Divine) vicegerent, and his hand is the hand of God. Like Ismá‘íl (Ishmael), lay your head before him; gladly and laughingly give up your soul before his dagger, In order that your soul may remain laughing unto eternity, like the pure soul of Ahmad (Mohammed) with the One (God). Lovers drain the cup of joy at the moment when the fair ones slay them with their own hand.",0
"The king did not commit that bloodshed because of lust: cease from thinking evil and disputing. You thought that he committed a foul crime, (but) in (the state of) purity how should the sublimation leave (any) alloy (behind)? The purpose of this (severe) discipline and this rough treatment is that the furnace may extract the dross from the silver. The testing of good and bad is in order that the gold may boil and bring the scum to the top. If his act were not the inspiration of God, he would have been a dog that rends (its prey), not a king.",0
"He was unstained by lust and covetousness and passion: (what) he did (was) good, but good that wore the aspect of evil. If Khadir stove the boat in the sea, (yet) in Khadir's staving there are a hundred rightnesses. The imagination of Moses, notwithstanding his (spiritual) illumination and excellence, was screened from (the comprehension of) that (act of Khadir). Do not thou fly without wings! That (deed of the king) is a red rose (worthy of praise); do not call it blood (murder). He is intoxicated with Reason; do not call him a madman. Had it been his desire to shed the blood of a Moslem, I am an infidel if I would have mentioned his name (with praise).",0
"The highest heaven trembles at praise of the wicked, and by praise of him the devout man is moved to think evil. He was a king and a very heedful king; he was elect and the elect (favourite) of God. One who is slain by a king like this, he (the king) leads him to fortune and to the best (most honourable) estate. Unless he (the king) had seen advantage to him (the goldsmith) in doing violence to him, how should that absolute Mercy have sought to do violence? The child trembles at the barber's scalpel (but) the fond mother is happy in that pain (of her child).",0
"He takes half a life and gives a hundred lives (in exchange): he gives that which enters not into your imagination. You are judging (his actions) from (the analogy of) yourself, but you have fallen far, far (away from the truth). Consider well! The story of the greengrocer and the parrot and the parrot's spilling the oil in the shop. There was a greengrocer who had a parrot, a sweet-voiced green talking parrot. (Perched) on the bench, it would watch over the shop (in the owner's absence) and talk finely to all the traders. In addressing human beings it would speak (like them); it was (also) skilled in the song of parrots.",1
"(Once) it sprang from the bench and flew away; it spilled the bottles of rose-oil. Its master came from the direction of his house and seated himself on the bench at his ease as a merchant does. (Then) he saw the bench was full of oil and his clothes greasy; he smote the parrot on the head: it was made bald by the blow. For some few days it refrained from speech; the greengrocer, in repentance, heaved deep sighs, Tearing his beard and saying, “Alas! the sun of my prosperity has gone under the clouds.",1
"Would that my hand had been broken (powerless) at that moment! How (ever) did I strike (such a blow) on the head of that sweet-tongued one?” He was giving presents to every dervish, that he might get back the speech of his bird. After three days and three nights, he was seated on the bench, distraught and sorrowful, like a man in despair, Showing the bird every sort of marvel (in the hope) that maybe it would begin to speak. Meanwhile a bare-headed dervish, clad in a jawlaq (coarse woollen frock), passed by, with a head hairless as the outside of bowl and basin.",1
"Thereupon the parrot began to talk, screeched at the dervish and said, “Hey, fellow! How were you mixed up with the bald, O baldpate? Did you, then, spill oil from the bottle?” The bystanders laughed at the parrot's inference, because it deemed the wearer of the frock to be like itself. Do not measure the actions of holy men by (the analogy of) yourself, though shér (lion) and shír (milk) are similar in writing. On this account the whole world is gone astray: scarcely any one is cognisant of God's Abdál (Substitutes).",1
"They set up (a claim of) equality with the prophets; they supposed the saints to be like themselves. “Behold,” they said, “we are men, they are men; both we and they are in bondage to sleep and food.” In (their) blindness they did not perceive that there is an infinite difference between (them). Both species of zanbúr ate and drank from the (same) place, but from that one (the hornet) came a sting, and from this other (the bee) honey. Both species of deer ate grass and drank water: from this one came dung, and from that one pure musk.",1
"Both reeds drank from the same water-source, (but) this one is empty and that one (full of) sugar. Consider hundreds of thousands of such likenesses and observe that the distance between the two is (as great as) a seventy years' journey. This one eats, and filth is discharged from him; that one eats, and becomes entirely the light of God. This one eats, (and of him) is born nothing but avarice and envy; that one eats, (and of him) is born nothing but love of the One (God). This one is good (fertile) soil and that one brackish and bad; this one is a fair angel and that one a devil and wild beast.",1
"If both resemble each other in aspect, it may well be (so): bitter water and sweet water have (the same) clearness. Who knows (the difference) except a man possessed of (spiritual) taste? Find (him): he knows the sweet water from the brine. Comparing magic with (prophetic) miracle, he (the ignorant one) fancies that both are founded on deceit. The magicians (in the time) of Moses, for contention's sake, lifted up (in their hands) a rod like his, (But) between this rod and that rod there is a vast difference; from this action (magic) to that action (miracle) is a great way.",1
"This action is followed by the curse of God, (while) that action receives in payment the mercy (blessing) of God. The infidels in contending (for equality with the prophets and saints) have the nature of an ape: the (evil) nature is a canker within the breast. Whatever a man does, the ape at every moment does the same thing that he sees done by the man. He thinks, “I have acted like him”: how should that quarrelsome-looking one know the difference? This one (the holy man) acts by the command (of God), and he (the apish imitator) for the sake of quarrelling (rivalry). Pour dust on the heads of those who have quarrelsome faces!",1
"That (religious) hypocrite joins in ritual prayer with the (sincere) conformist (only) for quarrelling's sake, not for supplication. In prayer and fasting and pilgrimage and alms-giving the true believers are (engaged) with the hypocrite in (what brings) victory and defeat. Victory in the end is to the true believers; upon the hypocrite (falls) defeat in the state hereafter. Although both are intent on one game, in relation to each other they are (as far apart as) the man of Merv and the man of Rayy. Each one goes to his (proper) abiding-place; each one fares according to his name.",1
"If he be called a true believer, his soul rejoices; and if you say “hypocrite,” he becomes filled with fire (rage). His (the true believer's) name is loved on account of its essence (which is true faith); this one's (the hypocrite's) name is loathed on account of its pestilent qualities. (The four letters) mím and wáw and mím and nún do not confer honour: the word múmin (true believer) is only for the sake of denotation. If you call him (the true believer) hypocrite, this vile name is stinging (him) within like a scorpion. If this name is not derived from Hell, then why is there the taste of Hell in it?",1
"The foulness of that ill name is not from the letters; the bitterness of that sea-water is not from the vessel (containing it). The letters are the vessel: therein the meaning is (contained) like water; (but) the sea of the meaning is (with God)—with Himis the Ummu ’l-Kitáb. In this world the bitter sea and the sweet sea (are divided)— between them is a barrier which they do not seek to cross. Know that both these flow from one origin. Pass on from them both, go (all the way) to their origin! Without the touchstone you will never know in the assay adulterated gold and fine gold by (using your own) judgement.",1
"Any one in whose soul God shall put the touchstone, he will distinguish certainty from doubt. A piece of rubbish jumps into the mouth of a living man, and only when he ejects it is he at ease. When, amongst thousands of morsels (of food), one little piece of rubbish entered (his mouth), the living man's sense (of touch or taste) tracked it down. The worldly sense is the ladder to this world; the religious sense is the ladder to Heaven. Seek ye the well-being of the former sense from the physician; beg ye the well-being of the latter sense from the Beloved.",1
"The health of the former arises from the flourishing state of the body; the health of the latter arises from the ruin of the body. The spiritual way ruins the body and, after having ruined it, restores it to prosperity: Ruined the house for the sake of the golden treasure, and with that same treasure builds it better (than before); Cut off the water and cleansed the river-bed, then caused drinking-water to flow in the river-bed; Cleft the skin and drew out the iron point (of the arrow or spear)—then fresh skin grew over it (the wound);",1
"Rased the fortress and took it from the infidel, then reared thereon a hundred towers and ramparts. Who shall describe the action of Him who hath no like? This that I have said (is only what the present) necessity is affording. Sometimes it (the action of God) appears like this and sometimes the contrary of this: the work of religion is naught but bewilderment. (I mean) not one bewildered in such wise that his back is (turned) towards Him; nay, but one bewildered (with ecstasy) like this and drowned (in God) and intoxicated with the Beloved. The face of the one is set towards the Beloved, (while) the face of the other is just his own face (he is facing himself).",1
"Look long on the face of every one, keep watch attentively: it may be that by doing service (to Súfís) you will come to know the face (of the true saint). Since there is many a devil who hath the face of Adam, it is not well to give your hand to every hand, Because the fowler produces a whistling sound in order to decoy the bird, (So that) the bird may hear the note of its congener and come down from the air and find trap and knife-point.",1
"The work of (holy) men is (as) light and heat; the work of vile men is trickery and shamelessness. They make a woollen lion for the purpose of begging; they give the title of Ahmad (Mohammed) to Bú Musaylim; (But) to Bú Musaylim remained the title of Kadhdháb (Liar), to Mohammed remained (the title of) Ulu ’l-albáb (Endowed with understanding). The wine of God, its seal (last result) is pure musk, (but) as for (the other) wine, its seal is stench and torment Story of the Jewish king who for bigotry's sake used to slay the Christians. Amongst the Jews there was a king who wrought oppression, an enemy of Jesus and a destroyer of Christians.",1
"’Twas the epoch of Jesus and the turn was his: he was the soul of Moses, and Moses the soul of him; (But) the squint-eyed (double-seeing) king separated in the way of God those two Divine (prophets) who were (really) in accord (with each other). The master said to a squint-eyed (pupil), “Come on; go, fetch that bottle out of the room.” Said the squint-eyed one: “Which of the two bottles shall I bring to you? Explain fully.” “There are not two bottles,” replied the master; “go, leave off squinting and do not be seeing more (than one).”",2
"“O master,” said he, “don't chide me.” Said the master, “Smash one of those two.” The bottle was one, though in his eyes it seemed two; when he broke the bottle, there was no other. When one was broken, both vanished from sight: a man is made squint-eyed by (evil) propensity and anger. Anger and lust make a man squint-eyed, they change the spirit (so that it departs) from rectitude. When self-interest appears, virtue becomes hidden: a hundred veils rise from the heart to the eye.",2
"When the cadi lets bribery gain hold of his heart, how should he know the wronger from the wretched victim of wrong? The king, from Jewish rancour, became so squint-eyed that (we cry), “Mercy, O Lord, mercy (save us from such an affliction)!” He slew hundreds of thousands of wronged (innocent) believers, saying, “I am the protection and support of the religion of Moses.” How the vizier instructed the king to plot. He had a vizier, a miscreant and ogler (deceiver), who by reason of (his exceeding) guile would tie knots on water. “The Christians,” said he, “seek to save their lives; they hide their religion from the king.",2
"Slay them not, for slaying (them) is useless: religion hath no smell, it is not musk and aloes-wood. The secret is concealed in a hundred coverings: its outward form is (in agreement) with thee, resembling thee, (but) the inward (reality) is (in) disagreement.” The king said to him: “Tell (me), then, what is the (best) plan? What is the remedy against that deceit and imposture?— So that there may not remain a single Christian in the world, neither one whose religion is manifest nor one who is concealed.” “O king,” said he, “cut off my ears and hands, rip my nose by bitter (cruel) decree;",2
"Then bring me under the gallows, that an intercessor may plead for me. Do this deed in the place for (public) proclamation, on a highway where roads run in four directions. Then banish me from thy presence to a distant land, that I may cast mischief and confusion amongst them. How the vizier brought the Christians into doubt and perplexity. Then I will say (to them), ‘I am secretly a Christian. O God who knowest (all) things hidden, Thou knowest me. The king was informed of my (Christian) faith and from bigotry sought to take my life.",2
"I wished to hide my religion from the king and profess his religion, (But) the king got a scent of my inmost beliefs, and my words were suspected (when I stood) before the king. He said, “Your words are like a needle in bread (specious but pernicious); there is a window between my heart and yours. Through that window I have seen your (real) state: I see your state and will not heed your words.” Had not the spirit of Jesus been my aid, he would in Jewish fashion have torn me to pieces.",2
"For Jesus' sake I would yield my life and give my head and lay on myself (confess) myriads of obligations to him. I do not grudge Jesus my life, but full well am I versed in the knowledge of his religion. Grief was coming over me (it seemed to me a pity) that that holy religion should perish amongst those who are ignorant (of it). Thanks be to God and to Jesus that I have become a guide to the true faith. I have escaped from Jews and Judaism so (entirely) that I have bound my waist with a (Christian) girdle.",2
"The (present) epoch is the epoch of Jesus. O men, hearken with your souls unto the mysteries of his religion!’” The king did to him that deed (mutilation) which he had proposed: the people remained in amazement at his deed. He (the king) drove him away to the Christians. After that, he (the vizier) began to proselytise. How the Christians let themselves be duped by the vizier. Myriads of Christian men gathered round him, little by little, in his abode, (While) he secretly expounded to them the mysteries of Gospel and girdle and prayer. ",2
"Outwardly he was a preacher of (religious) ordinances, but inwardly he was (as) the whistle and snare (of the fowler). On this account some Companions (of Mohammed) begged of the Prophet (that he would acquaint them with) the deceitfulness of the ghoul-like soul, Saying, “What of hidden selfish interests does it mingle in acts of worship and in pure spiritual devotion?” They were not seeking from him excellence of piety; they were not inquiring where lay the outward defect. Hair by hair, speck by speck, they were recognising the deceitfulness of the fleshly soul as (plainly as the difference of) the rose from parsley.",2
"Even the hair-splitters (the most scrupulous) of the Companions used to become distraught in spirit at the (Prophet's) admonition to them (the inquirers). How the Christians followed the vizier. The Christians all gave their hearts to him: what (how great), indeed, is the strength of the (blind) conformity of the vulgar! They planted love of him within their breasts, they were regarding him as the vicar of Jesus. He inwardly (in reality) was the accursed one-eyed Antichrist. O God, do Thou (hear and) answer the cry (of those in trouble) —what a good helper art Thou! O God, there are myriads of snares and baits, and we are as greedy foodless birds.",2
"From moment to moment we are caught in a fresh snare, though we become, each one, (like) a falcon or a Símurgh. Every moment Thou art delivering us, and again we are going to a snare, O Thou who art without want! We are putting corn in this barn, (and then) we are losing the corn that has been garnered. (Why), after all, do not we consider with intelligent mind that this damage to the corn arises from the deceitfulness of the mouse? Since the mouse has made a hole in our barn, and our barn has been ravaged by its guile,",2
"O soul, in the first place avert the mischief of the mouse, and then show fervour (zeal) in garnering the corn. Hear (one) of the sayings related from the Chiefest of the Chief (the Prophet): “No prayer is complete without ‘presence’ (concentration of the mind on God).” If there is no thievish mouse in our barn, where is the corn of forty years' works (of devotion)? Why is the daily sincerity (of our devotions) not being stored, bit by bit, in this barn of ours? Many a star (spark) of fire shot forth from the iron (of good works), and that burning heart received (it) and drew (it) in;",2
"But in the darkness a hidden thief is laying his finger upon the stars, Extinguishing the stars one by one, that no lamp may shine from the (spiritual) sky. Though there be thousands of snares at our feet, when Thou art with us there is not any trouble. Every night Thou freest the spirits from the body's snare, and dost erase (the impressions on) the tablets (of the mind). The spirits are set free every night from this cage, (they are) done with ordinance and talk and tale.",2
"At night prisoners are unconscious of their prison, at night governors are unconscious of their power. There is no sorrow, no thought of gain or loss, no fancy of this person or that person. This is the state of the ‘árif (gnostic), even without sleep: God said, (Thou wouldst deem them awake) whilst they slept. Shy not at this. He is asleep, day and night, to the affairs of the world, like a pen in the hand of the Lord's control. One who sees not the hand in the writing thinks (that) the act (of writing proceeds) from the pen by means of movement.",2
